design,n_groups,coef_var,tests_per_group,n_tested_for_sensitivity,n_tested_for_specificity,prev,sensitivity,specificity,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
106,50,0.026810684593053406,200,60,300,0.05,0.95,1,0.75,high,38,0.06507799192731872,2
107,50,0.026810684593053406,200,60,300,0.05,0.95,1,0.75,low,38,0.0665223815227134,2
108,50,0.026810684593053406,200,60,300,0.05,0.95,1,0.75,uniform,38,0.06581287570349727,2
109,50,0.03952868137522828,200,60,300,0.005,0.95,0.75,0.75,high,38,0.006479436376321587,2
110,50,0.03952868137522828,200,60,300,0.005,0.95,0.75,0.75,low,38,0.006689394442644616,2
111,50,0.03952868137522828,200,60,300,0.005,0.95,0.75,0.75,uniform,38,0.0065769705889086654,2
112,50,0.03952868137522828,200,60,300,0.005,0.95,0.8,0.75,high,38,0.006479436376321587,2
113,50,0.03952868137522828,200,60,300,0.005,0.95,0.8,0.75,low,38,0.006689394442644616,2
114,50,0.03952868137522828,200,60,300,0.005,0.95,0.8,0.75,uniform,38,0.0065769705889086654,2
115,50,0.03952868137522828,200,60,300,0.005,0.95,0.85,0.75,high,38,0.006479436376321587,2
116,50,0.03952868137522828,200,60,300,0.005,0.95,0.85,0.75,low,38,0.006689394442644616,3
117,50,0.03952868137522828,200,60,300,0.005,0.95,0.85,0.75,uniform,38,0.0065769705889086654,3
118,50,0.03952868137522828,200,60,300,0.005,0.95,0.9,0.75,high,38,0.006479436376321587,3
119,50,0.03952868137522828,200,60,300,0.005,0.95,0.9,0.75,low,38,0.006689394442644616,3
120,50,0.03952868137522828,200,60,300,0.005,0.95,0.9,0.75,uniform,38,0.0065769705889086654,3
121,50,0.03952868137522828,200,60,300,0.005,0.95,0.95,0.75,high,38,0.006479436376321587,3
122,50,0.03952868137522828,200,60,300,0.005,0.95,0.95,0.75,low,38,0.006689394442644616,3
123,50,0.03952868137522828,200,60,300,0.005,0.95,0.95,0.75,uniform,38,0.0065769705889086654,3
124,50,0.03952868137522828,200,60,300,0.005,0.95,1,0.75,high,38,0.006479436376321587,3
125,50,0.03952868137522828,200,60,300,0.005,0.95,1,0.75,low,38,0.006689394442644616,3
126,50,0.03952868137522828,200,60,300,0.005,0.95,1,0.75,uniform,38,0.0065769705889086654,3
127,50,0.03952868137522828,200,60,300,0.05,0.95,0.75,0.75,high,38,0.06479436376321587,3
128,50,0.03952868137522828,200,60,300,0.05,0.95,0.75,0.75,low,38,0.06689394442644617,3
129,50,0.03952868137522828,200,60,300,0.05,0.95,0.75,0.75,uniform,38,0.06576970588908666,3
130,50,0.03952868137522828,200,60,300,0.05,0.95,0.8,0.75,high,38,0.06479436376321587,3
131,50,0.03952868137522828,200,60,300,0.05,0.95,0.8,0.75,low,38,0.06689394442644617,3
132,50,0.03952868137522828,200,60,300,0.05,0.95,0.8,0.75,uniform,38,0.06576970588908666,3
