design,method,lower_error_freq,upper_error_freq,coverage
152,WprevSeSp_gamma_result,0,0,1
153,WprevSeSp,0,0,1
153,WprevSeSp_gamma_result,0,0,1
154,WprevSeSp,0,0,1
154,WprevSeSp_gamma_result,0,0,1
155,WprevSeSp,0,0,1
155,WprevSeSp_gamma_result,0,0,1
156,WprevSeSp,0,0,1
156,WprevSeSp_gamma_result,0,0,1
157,WprevSeSp,0,0,1
157,WprevSeSp_gamma_result,0,0,1
158,WprevSeSp,0,0,1
158,WprevSeSp_gamma_result,0,0,1
159,WprevSeSp,0,0,1
159,WprevSeSp_gamma_result,0,0,1
160,WprevSeSp,0,0,1
160,WprevSeSp_gamma_result,0,0,1
161,WprevSeSp,0,1e-4,0.9999
161,WprevSeSp_gamma_result,0,1e-4,0.9999
162,WprevSeSp,0,0,1
162,WprevSeSp_gamma_result,0,0,1
163,WprevSeSp,0,0,1
163,WprevSeSp_gamma_result,0,0,1
164,WprevSeSp,0,0,1
164,WprevSeSp_gamma_result,0,0,1
165,WprevSeSp,0,0,1
165,WprevSeSp_gamma_result,0,0,1
166,WprevSeSp,0,0,1
166,WprevSeSp_gamma_result,0,0,1
167,WprevSeSp,0,0,1
167,WprevSeSp_gamma_result,0,0,1
168,WprevSeSp,0,0,1
168,WprevSeSp_gamma_result,0,0,1
169,WprevSeSp,0,0,1
169,WprevSeSp_gamma_result,0,0,1
170,WprevSeSp,0,0,1
170,WprevSeSp_gamma_result,0,0,1
171,WprevSeSp,0,0,1
171,WprevSeSp_gamma_result,0,0,1
172,WprevSeSp,0,0,1
172,WprevSeSp_gamma_result,0,0,1
173,WprevSeSp,0,0,1
173,WprevSeSp_gamma_result,0,0,1
174,WprevSeSp,0,0,1
174,WprevSeSp_gamma_result,0,0,1
175,WprevSeSp,0,0,1
175,WprevSeSp_gamma_result,0,0,1
176,WprevSeSp,0,0,1
176,WprevSeSp_gamma_result,0,0,1
177,WprevSeSp,0,0,1
177,WprevSeSp_gamma_result,0,0,1
178,WprevSeSp,0,0,1
178,WprevSeSp_gamma_result,0,0,1
179,WprevSeSp,0,0.111,0.889
179,WprevSeSp_gamma_result,0,0.111,0.889
180,WprevSeSp,0,1e-4,0.9999
180,WprevSeSp_gamma_result,0,1e-4,0.9999
181,WprevSeSp,0,0,1
181,WprevSeSp_gamma_result,0,0,1
182,WprevSeSp,0,0,1
182,WprevSeSp_gamma_result,0,0,1
183,WprevSeSp,0,0,1
183,WprevSeSp_gamma_result,0,0,1
184,WprevSeSp,0,0,1
184,WprevSeSp_gamma_result,0,0,1
185,WprevSeSp,0,0,1
185,WprevSeSp_gamma_result,0,0,1
