design,n_groups,coef_var,tests_per_group,prev,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
141,50,0.1218680778839867,200,0.05,0.5,low,25,0.11035455305345021,4
142,50,0.1218680778839867,200,0.05,0.5,uniform,25,0.10025006905862308,4
143,50,0.1218680778839867,200,0.05,0.75,high,38,0.06283256666331186,4
144,50,0.1218680778839867,200,0.05,0.75,low,38,0.06931395020448662,4
145,50,0.1218680778839867,200,0.05,0.75,uniform,38,0.06586025363424934,4
146,50,0.1324660879358071,200,0.05,0.05,high,2,0.9810558449623559,4
147,50,0.1324660879358071,200,0.05,0.1,high,5,0.4030815656161273,4
148,50,0.1324660879358071,200,0.05,0.1,low,5,0.6444731258192583,4
149,50,0.1324660879358071,200,0.05,0.1,uniform,5,0.5026523889401792,4
150,50,0.1324660879358071,200,0.05,0.25,high,12,0.17659113060883783,4
151,50,0.1324660879358071,200,0.05,0.25,low,12,0.24925841337181384,4
152,50,0.1324660879358071,200,0.05,0.25,uniform,12,0.20827919389219668,4
153,50,0.1324660879358071,200,0.05,0.5,high,25,0.09058032152670027,4
154,50,0.1324660879358071,200,0.05,0.5,low,25,0.11160621468598017,4
155,50,0.1324660879358071,200,0.05,0.5,uniform,25,0.10003173185610943,4
156,50,0.1324660879358071,200,0.05,0.75,high,38,0.06254652166347942,4
157,50,0.1324660879358071,200,0.05,0.75,low,38,0.06974861894333587,4
158,50,0.1324660879358071,200,0.05,0.75,uniform,38,0.06582132290579172,4
159,50,0.12869713767887206,200,0.05,0.05,high,2,0.9649299812663662,4
160,50,0.12869713767887206,200,0.05,0.1,high,5,0.40588952542588197,4
161,50,0.12869713767887206,200,0.05,0.1,low,5,0.6221118442781436,4
162,50,0.12869713767887206,200,0.05,0.1,uniform,5,0.5007375611531986,4
163,50,0.12869713767887206,200,0.05,0.25,high,12,0.17766556455750565,4
164,50,0.12869713767887206,200,0.05,0.25,low,12,0.24715873142863634,4
165,50,0.12869713767887206,200,0.05,0.25,uniform,12,0.2083506659485756,4
166,50,0.12869713767887206,200,0.05,0.5,high,25,0.09067970264983734,4
167,50,0.12869713767887206,200,0.05,0.5,low,25,0.11145570978036626,4
168,50,0.12869713767887206,200,0.05,0.5,uniform,25,0.10017496499997267,4
169,50,0.12869713767887206,200,0.05,0.75,high,38,0.06268013839348982,4
170,50,0.12869713767887206,200,0.05,0.75,low,38,0.06958241448009185,5
171,50,0.12869713767887206,200,0.05,0.75,uniform,38,0.06584601159329213,5
172,50,0.14859113434659996,200,0.05,0.05,high,2,0.9682638061352249,5
173,50,0.14859113434659996,200,0.05,0.1,high,5,0.3960803313514886,5
174,50,0.14859113434659996,200,0.05,0.1,low,5,0.650649185101098,5
175,50,0.14859113434659996,200,0.05,0.1,uniform,5,0.503022797389251,5
176,50,0.14859113434659996,200,0.05,0.25,high,12,0.17293518624368628,5
177,50,0.14859113434659996,200,0.05,0.25,low,12,0.2539580588164634,5
178,50,0.14859113434659996,200,0.05,0.25,uniform,12,0.20832260988569978,5
179,50,0.14859113434659996,200,0.05,0.5,high,25,0.08909084033148817,5
180,50,0.14859113434659996,200,0.05,0.5,low,25,0.11395360086404228,5
181,50,0.14859113434659996,200,0.05,0.5,uniform,25,0.09999243815814077,5
182,50,0.14859113434659996,200,0.05,0.75,high,38,0.06225742201365862,5
183,50,0.14859113434659996,200,0.05,0.75,low,38,0.07033591908377163,5
184,50,0.14859113434659996,200,0.05,0.75,uniform,38,0.06581568917946286,5
185,50,0.15687842990836148,200,0.05,0.05,high,2,0.9782998459984098,5
186,50,0.15687842990836148,200,0.05,0.1,high,5,0.39877705689614573,5
187,50,0.15687842990836148,200,0.05,0.1,low,5,0.6902510434650466,5
188,50,0.15687842990836148,200,0.05,0.1,uniform,5,0.4983406414988641,5
189,50,0.15687842990836148,200,0.05,0.25,high,12,0.17443374005005122,5
190,50,0.15687842990836148,200,0.05,0.25,low,12,0.26119641776448366,5
191,50,0.15687842990836148,200,0.05,0.25,uniform,12,0.20780423448012064,5
192,50,0.15687842990836148,200,0.05,0.5,high,25,0.08846607105171422,5
193,50,0.15687842990836148,200,0.05,0.5,low,25,0.1149923408252164,5
194,50,0.15687842990836148,200,0.05,0.5,uniform,25,0.09970022452979597,5
195,50,0.15687842990836148,200,0.05,0.75,high,38,0.06183732198899265,5
196,50,0.15687842990836148,200,0.05,0.75,low,38,0.070091013892168,5
197,50,0.15687842990836148,200,0.05,0.75,uniform,38,0.06567530158301549,5
198,50,0.1636529887077655,200,0.05,0.05,high,2,0.9542244410074585,5
199,50,0.1636529887077655,200,0.05,0.1,high,5,0.3918595172692288,5
200,50,0.1636529887077655,200,0.05,0.1,low,5,0.6739267776415008,5
201,50,0.1636529887077655,200,0.05,0.1,uniform,5,0.502777861555457,5
202,50,0.1636529887077655,200,0.05,0.25,high,12,0.17124131039680723,5
203,50,0.1636529887077655,200,0.05,0.25,low,12,0.2624588928773663,5
204,50,0.1636529887077655,200,0.05,0.25,uniform,12,0.20827872111155754,5
205,50,0.1636529887077655,200,0.05,0.5,high,25,0.08799046452657376,5
206,50,0.1636529887077655,200,0.05,0.5,low,25,0.11580598661149004,5
207,50,0.1636529887077655,200,0.05,0.5,uniform,25,0.10007000424235768,5
208,50,0.1636529887077655,200,0.05,0.75,high,38,0.06176698214954471,5
209,50,0.1636529887077655,200,0.05,0.75,low,38,0.07062003447354555,5
210,50,0.1636529887077655,200,0.05,0.75,uniform,38,0.06583920528753147,5
211,50,0.1654078285124838,200,0.05,0.05,high,2,0.9217178256612883,5
212,50,0.1654078285124838,200,0.05,0.1,high,5,0.38753298976729045,5
213,50,0.1654078285124838,200,0.05,0.1,low,5,0.6845959669535352,6
214,50,0.1654078285124838,200,0.05,0.1,uniform,5,0.5014391972269091,6
215,50,0.1654078285124838,200,0.05,0.25,high,12,0.1718901911238912,6
216,50,0.1654078285124838,200,0.05,0.25,low,12,0.2668043701010367,6
217,50,0.1654078285124838,200,0.05,0.25,uniform,12,0.20944603770951448,6
218,50,0.1654078285124838,200,0.05,0.5,high,25,0.08830424740879121,6
219,50,0.1654078285124838,200,0.05,0.5,low,25,0.11526691343963659,6
220,50,0.1654078285124838,200,0.05,0.5,uniform,25,0.10029686570193196,6
221,50,0.1654078285124838,200,0.05,0.75,high,38,0.06153113287723368,6
222,50,0.1654078285124838,200,0.05,0.75,low,38,0.07051026400852026,6
223,50,0.1654078285124838,200,0.05,0.75,uniform,38,0.06593896143291637,6
224,50,0.17122051214569328,200,0.05,0.05,high,2,0.8812565945155565,6
225,50,0.17122051214569328,200,0.05,0.1,high,5,0.38502255841879507,6
226,50,0.17122051214569328,200,0.05,0.1,low,5,0.7118603776419984,6
227,50,0.17122051214569328,200,0.05,0.1,uniform,5,0.5003995789058938,6
228,50,0.17122051214569328,200,0.05,0.25,high,12,0.17195440328736242,6
229,50,0.17122051214569328,200,0.05,0.25,low,12,0.2671223524547368,6
230,50,0.17122051214569328,200,0.05,0.25,uniform,12,0.208833137124224,6
231,50,0.17122051214569328,200,0.05,0.5,high,25,0.08855679232170906,6
232,50,0.17122051214569328,200,0.05,0.5,low,25,0.11483941867208693,6
233,50,0.17122051214569328,200,0.05,0.5,uniform,25,0.10014419988299095,6
234,50,0.17122051214569328,200,0.05,0.75,high,38,0.06151424517897656,6
235,50,0.17122051214569328,200,0.05,0.75,low,38,0.07049946482136626,6
236,50,0.17122051214569328,200,0.05,0.75,uniform,38,0.06601206296968913,6
237,50,0.2289712915698018,200,0.05,0.05,high,2,0.8759806170166508,6
238,50,0.2289712915698018,200,0.05,0.1,high,5,0.3581251772433498,6
239,50,0.2289712915698018,200,0.05,0.1,low,5,0.7947532189967399,6
240,50,0.2289712915698018,200,0.05,0.1,uniform,5,0.5020642498554687,6
241,50,0.2289712915698018,200,0.05,0.25,high,12,0.159816298986814,6
242,50,0.2289712915698018,200,0.05,0.25,low,12,0.2915535695436655,6
243,50,0.2289712915698018,200,0.05,0.25,uniform,12,0.20812938774629797,6
244,50,0.2289712915698018,200,0.05,0.5,high,25,0.0841825970703248,6
245,50,0.2289712915698018,200,0.05,0.5,low,25,0.123136631334848,6
246,50,0.2289712915698018,200,0.05,0.5,uniform,25,0.10000257245411182,6
247,50,0.2289712915698018,200,0.05,0.75,high,38,0.060349671109074944,6
248,50,0.2289712915698018,200,0.05,0.75,low,38,0.07276529097288356,6
249,50,0.2289712915698018,200,0.05,0.75,uniform,38,0.06571973130433664,6
250,50,0.26854601037662246,200,0.05,0.05,high,2,0.6715785698651072,6
251,50,0.26854601037662246,200,0.05,0.1,high,5,0.3235064463571467,6
252,50,0.26854601037662246,200,0.05,0.1,low,5,0.7820738314337481,6
253,50,0.26854601037662246,200,0.05,0.1,uniform,5,0.5117027140908085,6
254,50,0.26854601037662246,200,0.05,0.25,high,12,0.15551770183751887,6
255,50,0.26854601037662246,200,0.05,0.25,low,12,0.2910439872388492,7
256,50,0.26854601037662246,200,0.05,0.25,uniform,12,0.2127929183550276,7
257,50,0.26854601037662246,200,0.05,0.5,high,25,0.08374376534050379,7
258,50,0.26854601037662246,200,0.05,0.5,low,25,0.1240877603543303,7
259,50,0.26854601037662246,200,0.05,0.5,uniform,25,0.10187691918361122,7
260,50,0.26854601037662246,200,0.05,0.75,high,38,0.06037155097141156,7
261,50,0.26854601037662246,200,0.05,0.75,low,38,0.07369270706681633,7
262,50,0.26854601037662246,200,0.05,0.75,uniform,38,0.06673986909315285,7
263,50,0.23413007819255668,200,0.05,0.05,high,2,0.8293191760304284,7
264,50,0.23413007819255668,200,0.05,0.1,high,5,0.33789658789354765,7
265,50,0.23413007819255668,200,0.05,0.1,low,5,0.709256532171225,7
266,50,0.23413007819255668,200,0.05,0.1,uniform,5,0.5120575515799999,7
267,50,0.23413007819255668,200,0.05,0.25,high,12,0.15536388796310285,7
268,50,0.23413007819255668,200,0.05,0.25,low,12,0.2805571848821355,7
269,50,0.23413007819255668,200,0.05,0.25,uniform,12,0.21051595169825563,7
270,50,0.23413007819255668,200,0.05,0.5,high,25,0.0843385360010786,7
271,50,0.23413007819255668,200,0.05,0.5,low,25,0.1228045016223602,7
272,50,0.23413007819255668,200,0.05,0.5,uniform,25,0.1008063886637481,7
273,50,0.23413007819255668,200,0.05,0.75,high,38,0.06084329686484523,7
274,50,0.23413007819255668,200,0.05,0.75,low,38,0.07372729450602156,7
275,50,0.23413007819255668,200,0.05,0.75,uniform,38,0.0661094018976928,7
276,50,0.21784888198070707,200,0.05,0.05,high,2,0.799985359160295,7
277,50,0.21784888198070707,200,0.05,0.1,high,5,0.34592793759628243,7
278,50,0.21784888198070707,200,0.05,0.1,low,5,0.7366255459275731,7
279,50,0.21784888198070707,200,0.05,0.1,uniform,5,0.5071002186379964,7
280,50,0.21784888198070707,200,0.05,0.25,high,12,0.16130115639940198,7
281,50,0.21784888198070707,200,0.05,0.25,low,12,0.28045960183525176,7
282,50,0.21784888198070707,200,0.05,0.25,uniform,12,0.21061715182571797,7
283,50,0.21784888198070707,200,0.05,0.5,high,25,0.08577727707451736,7
284,50,0.21784888198070707,200,0.05,0.5,low,25,0.11987675430952918,7
285,50,0.21784888198070707,200,0.05,0.5,uniform,25,0.10065996982281536,7
286,50,0.21784888198070707,200,0.05,0.75,high,38,0.06084788822028415,7
287,50,0.21784888198070707,200,0.05,0.75,low,38,0.07246158154034628,7
288,50,0.21784888198070707,200,0.05,0.75,uniform,38,0.06621030905731261,7
289,50,0.1973368098352446,200,0.05,0.05,high,2,0.8782061842405513,7
290,50,0.1973368098352446,200,0.05,0.1,high,5,0.36421621167166857,7
291,50,0.1973368098352446,200,0.05,0.1,low,5,0.6938433370153134,7
292,50,0.1973368098352446,200,0.05,0.1,uniform,5,0.5090447587928654,7
293,50,0.1973368098352446,200,0.05,0.25,high,12,0.16341062788496574,7
294,50,0.1973368098352446,200,0.05,0.25,low,12,0.2721302351262546,7
295,50,0.1973368098352446,200,0.05,0.25,uniform,12,0.21007411259903364,7
296,50,0.1973368098352446,200,0.05,0.5,high,25,0.08616910332206448,7
297,50,0.1973368098352446,200,0.05,0.5,low,25,0.11911976715980428,8
298,50,0.1973368098352446,200,0.05,0.5,uniform,25,0.10061753589888507,8
299,50,0.1973368098352446,200,0.05,0.75,high,38,0.06125465877519577,8
300,50,0.1973368098352446,200,0.05,0.75,low,38,0.07204378942805777,8
301,50,0.1973368098352446,200,0.05,0.75,uniform,38,0.06603719414463707,8
302,50,0.2532600285237146,200,0.05,0.05,high,2,0.7826918094030528,8
303,50,0.2532600285237146,200,0.05,0.1,high,5,0.34407219585088544,8
304,50,0.2532600285237146,200,0.05,0.1,low,5,0.8016006088605222,8
305,50,0.2532600285237146,200,0.05,0.1,uniform,5,0.5046580550979209,8
306,50,0.2532600285237146,200,0.05,0.25,high,12,0.15480200243517295,8
307,50,0.2532600285237146,200,0.05,0.25,low,12,0.29896441576240085,8
308,50,0.2532600285237146,200,0.05,0.25,uniform,12,0.20982857772239943,8
309,50,0.2532600285237146,200,0.05,0.5,high,25,0.08306910035194597,8
310,50,0.2532600285237146,200,0.05,0.5,low,25,0.1255992746519603,8
311,50,0.2532600285237146,200,0.05,0.5,uniform,25,0.10067746695751575,8
312,50,0.2532600285237146,200,0.05,0.75,high,38,0.06004159567279637,8
313,50,0.2532600285237146,200,0.05,0.75,low,38,0.07385450603910376,8
314,50,0.2532600285237146,200,0.05,0.75,uniform,38,0.06607451818899109,8
315,50,0.2826967914100187,200,0.05,0.05,high,2,0.7490452244052778,8
316,50,0.2826967914100187,200,0.05,0.1,high,5,0.32262811131995295,8
317,50,0.2826967914100187,200,0.05,0.1,low,5,0.8400802235591682,8
318,50,0.2826967914100187,200,0.05,0.1,uniform,5,0.5060552555630616,8
319,50,0.2826967914100187,200,0.05,0.25,high,12,0.1495763039820809,8
320,50,0.2826967914100187,200,0.05,0.25,low,12,0.3166720443200272,8
321,50,0.2826967914100187,200,0.05,0.25,uniform,12,0.21107984855127032,8
322,50,0.2826967914100187,200,0.05,0.5,high,25,0.0819496413105374,8
323,50,0.2826967914100187,200,0.05,0.5,low,25,0.1282481398054215,8
324,50,0.2826967914100187,200,0.05,0.5,uniform,25,0.10080689049050981,8
325,50,0.2826967914100187,200,0.05,0.75,high,38,0.05937481094568656,8
326,50,0.2826967914100187,200,0.05,0.75,low,38,0.07510637470988965,8
327,50,0.2826967914100187,200,0.05,0.75,uniform,38,0.06618914955515982,8
328,50,0.32619582336814407,200,0.05,0.05,high,2,0.6923217680381468,8
329,50,0.32619582336814407,200,0.05,0.1,high,5,0.3068569617335275,8
330,50,0.32619582336814407,200,0.05,0.1,low,5,0.9071036828500169,8
331,50,0.32619582336814407,200,0.05,0.1,uniform,5,0.5153022691879315,8
332,50,0.32619582336814407,200,0.05,0.25,high,12,0.14212973783300759,8
333,50,0.32619582336814407,200,0.05,0.25,low,12,0.32971375205612136,8
334,50,0.32619582336814407,200,0.05,0.25,uniform,12,0.21110306711666563,8
335,50,0.32619582336814407,200,0.05,0.5,high,25,0.07988721419121256,8
336,50,0.32619582336814407,200,0.05,0.5,low,25,0.1336478095283652,8
337,50,0.32619582336814407,200,0.05,0.5,uniform,25,0.10098879176858833,8
338,50,0.32619582336814407,200,0.05,0.75,high,38,0.0589377085739367,8
339,50,0.32619582336814407,200,0.05,0.75,low,38,0.0771356465219889,8
340,50,0.32619582336814407,200,0.05,0.75,uniform,38,0.06642944145854202,9
341,50,0.26960400592129613,200,0.05,0.05,high,2,0.7211085951777128,9
342,50,0.26960400592129613,200,0.05,0.1,high,5,0.32170184597192636,9
