design,method,lower_error_freq,upper_error_freq,coverage
56,CP,0.0133,0.0123,0.9744
56,wspoissonTest,0.0133,0.0123,0.9744
56,wspoissonTest_midp,0.0133,0.0123,0.9744
57,AC,0.0117,0.0097,0.9786
57,CP,0.0081,0.0097,0.9822
57,wspoissonTest,0.0081,0.0097,0.9822
57,wspoissonTest_midp,0.0117,0.0097,0.9786
58,AC,0.0187,0.013,0.9683
58,CP,0.0144,0.0182,0.9674
58,wspoissonTest,0.0157,0.0122,0.9721
58,wspoissonTest_midp,0.0187,0.0182,0.9631
59,AC,0.0186,0.0173,0.9641
59,CP,0.0186,0.0173,0.9641
59,wspoissonTest,0.0186,0.0173,0.9641
59,wspoissonTest_midp,0.0186,0.0173,0.9641
60,AC,0.0178,0.0147,0.9675
60,CP,0.0145,0.0163,0.9692
60,wspoissonTest,0.0145,0.0153,0.9702
60,wspoissonTest_midp,0.016,0.0167,0.9673
61,AC,0.0232,0.0196,0.9572
61,CP,0.0182,0.0196,0.9622
61,wspoissonTest,0.0184,0.0195,0.9621
61,wspoissonTest_midp,0.0231,0.0198,0.9571
62,AC,0.0228,0.0168,0.9604
62,CP,0.0163,0.0168,0.9669
62,wspoissonTest,0.0163,0.0168,0.9669
62,wspoissonTest_midp,0.0228,0.0187,0.9585
63,AC,0.0235,0.0169,0.9596
63,CP,0.019,0.0192,0.9618
63,wspoissonTest,0.0192,0.0171,0.9637
63,wspoissonTest_midp,0.0204,0.0208,0.9588
64,AC,0.026,0.0202,0.9538
64,CP,0.0195,0.0205,0.96
64,wspoissonTest,0.0195,0.02,0.9605
64,wspoissonTest_midp,0.0204,0.021,0.9586
65,AC,0.027,0.0178,0.9552
65,CP,0.0234,0.0216,0.955
65,wspoissonTest,0.0237,0.0206,0.9557
65,wspoissonTest_midp,0.027,0.026,0.947
66,AC,0.0276,0.02,0.9524
66,CP,0.0221,0.0216,0.9563
66,wspoissonTest,0.0222,0.0204,0.9574
66,wspoissonTest_midp,0.0238,0.024,0.9522
67,AC,0.0296,0.0187,0.9517
67,CP,0.0227,0.0188,0.9585
67,wspoissonTest,0.0227,0.0187,0.9586
67,wspoissonTest_midp,0.0238,0.0222,0.954
68,AC,0.0257,0.0179,0.9564
68,CP,0.0199,0.0186,0.9615
68,wspoissonTest,0.0203,0.0185,0.9612
68,wspoissonTest_midp,0.0253,0.0248,0.9499
69,AC,0.0302,0.0183,0.9515
69,CP,0.0238,0.0195,0.9567
69,wspoissonTest,0.0239,0.0184,0.9577
69,wspoissonTest_midp,0.0263,0.0222,0.9515
70,AC,0.027,0.0181,0.9549
70,CP,0.0219,0.0193,0.9588
70,wspoissonTest,0.0219,0.0181,0.96
70,wspoissonTest_midp,0.023,0.0258,0.9512
71,AC,0.0287,0.0211,0.9502
71,CP,0.0235,0.0212,0.9553
71,wspoissonTest,0.0236,0.0212,0.9552
71,wspoissonTest_midp,0.0265,0.0233,0.9502
72,AC,0.0261,0.0219,0.952
72,CP,0.0212,0.0236,0.9552
72,wspoissonTest,0.0212,0.0223,0.9565
72,wspoissonTest_midp,0.0232,0.0255,0.9513
73,AC,0.0095,0.0082,0.9823
73,CP,0.0095,0.0082,0.9823
73,wspoissonTest,0.0095,0.0082,0.9823
73,wspoissonTest_midp,0.0095,0.0082,0.9823
74,AC,0.0148,0.0108,0.9744
74,CP,0.0099,0.0108,0.9793
74,wspoissonTest,0.0099,0.0108,0.9793
74,wspoissonTest_midp,0.0099,0.0151,0.975
75,AC,0.0143,0.0077,0.978
75,CP,0.0093,0.0077,0.983
75,wspoissonTest,0.0093,0.0077,0.983
75,wspoissonTest_midp,0.0143,0.0127,0.973
76,AC,0.0188,0.0156,0.9656
76,CP,0.0135,0.0156,0.9709
76,wspoissonTest,0.0135,0.0155,0.971
76,wspoissonTest_midp,0.0135,0.0156,0.9709
77,AC,0.0202,0.015,0.9648
77,CP,0.014,0.0153,0.9707
77,wspoissonTest,0.014,0.0153,0.9707
77,wspoissonTest_midp,0.0191,0.0166,0.9643
78,AC,0.0169,0.0167,0.9664
78,CP,0.014,0.0173,0.9687
78,wspoissonTest,0.014,0.0156,0.9704
78,wspoissonTest_midp,0.0168,0.0173,0.9659
79,AC,0.0276,0.0164,0.956
79,CP,0.0218,0.0164,0.9618
79,wspoissonTest,0.0218,0.0164,0.9618
79,wspoissonTest_midp,0.0222,0.0183,0.9595
80,AC,0.0287,0.0173,0.954
80,CP,0.0225,0.018,0.9595
80,wspoissonTest,0.0225,0.0178,0.9597
80,wspoissonTest_midp,0.0251,0.0207,0.9542
81,AC,0.0234,0.0184,0.9582
81,CP,0.0186,0.0199,0.9615
81,wspoissonTest,0.0187,0.0172,0.9641
81,wspoissonTest_midp,0.0209,0.0216,0.9575
82,AC,0.0261,0.0205,0.9534
82,CP,0.0203,0.0209,0.9588
82,wspoissonTest,0.0203,0.0183,0.9614
82,wspoissonTest_midp,0.0244,0.0211,0.9545
83,AC,0.0247,0.0187,0.9566
83,CP,0.0191,0.019,0.9619
83,wspoissonTest,0.0191,0.0188,0.9621
83,wspoissonTest_midp,0.0231,0.0227,0.9542
84,AC,0.0287,0.0195,0.9518
84,CP,0.0233,0.021,0.9557
84,wspoissonTest,0.0233,0.0191,0.9576
84,wspoissonTest_midp,0.0263,0.0238,0.9499
85,AC,0.0265,0.0186,0.9549
85,CP,0.0217,0.0195,0.9588
85,wspoissonTest,0.0218,0.0175,0.9607
85,wspoissonTest_midp,0.0252,0.0241,0.9507
86,AC,0.0284,0.018,0.9536
86,CP,0.0224,0.0182,0.9594
86,wspoissonTest,0.0224,0.018,0.9596
86,wspoissonTest_midp,0.0249,0.0203,0.9548
87,AC,0.0258,0.0194,0.9548
87,CP,0.0206,0.0209,0.9585
87,wspoissonTest,0.0206,0.0188,0.9606
87,wspoissonTest_midp,0.0227,0.0232,0.9541
88,AC,0.0273,0.0191,0.9536
88,CP,0.0221,0.0204,0.9575
88,wspoissonTest,0.0222,0.0183,0.9595
88,wspoissonTest_midp,0.0256,0.0232,0.9512
89,AC,0.0263,0.0188,0.9549
89,CP,0.02,0.02,0.96
89,wspoissonTest,0.02,0.0186,0.9614
89,wspoissonTest_midp,0.0226,0.0221,0.9553
90,AC,0.0267,0.0208,0.9525
90,CP,0.0218,0.0221,0.9561
90,wspoissonTest,0.022,0.0196,0.9584
90,wspoissonTest_midp,0.0248,0.0259,0.9493
91,AC,0.0116,0.0067,0.9817
91,CP,0.0076,0.0067,0.9857
91,wspoissonTest,0.0076,0.0067,0.9857
91,wspoissonTest_midp,0.0116,0.011,0.9774
92,AC,0.0167,0.0091,0.9742
92,CP,0.0108,0.0091,0.9801
92,wspoissonTest,0.0108,0.0091,0.9801
92,wspoissonTest_midp,0.0108,0.0153,0.9739
93,AC,0.0116,0.0116,0.9768
93,CP,0.0068,0.0116,0.9816
93,wspoissonTest,0.0068,0.0116,0.9816
