design,n_groups,coef_var,tests_per_group,prev,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
142,50,0.07226446783640587,200,0.005,0.75,high,38,0.006777059894626714,3
143,50,0.07226446783640587,200,0.005,0.75,low,38,0.00638565583941752,3
144,50,0.07226446783640587,200,0.005,0.75,uniform,38,0.0065792909590558874,3
145,50,0.08227496420448167,200,0.005,0.02,high,1,0.31562394200785476,3
146,50,0.08227496420448167,200,0.005,0.02,low,1,0.20678328021705344,3
147,50,0.08227496420448167,200,0.005,0.02,uniform,1,0.2504623233216892,3
148,50,0.08227496420448167,200,0.005,0.05,high,2,0.14913296027350986,3
149,50,0.08227496420448167,200,0.005,0.05,low,2,0.1049056271028924,3
150,50,0.08227496420448167,200,0.005,0.05,uniform,2,0.1267436671123726,3
151,50,0.08227496420448167,200,0.005,0.1,high,5,0.0570371809056948,3
152,50,0.08227496420448167,200,0.005,0.1,low,5,0.04318390506733397,3
153,50,0.08227496420448167,200,0.005,0.1,uniform,5,0.05026450356174134,3
154,50,0.08227496420448167,200,0.005,0.25,high,12,0.022963458129972702,3
155,50,0.08227496420448167,200,0.005,0.25,low,12,0.018701544049390558,3
156,50,0.08227496420448167,200,0.005,0.25,uniform,12,0.02087942242529038,3
157,50,0.08227496420448167,200,0.005,0.5,high,25,0.010689993927823112,3
158,50,0.08227496420448167,200,0.005,0.5,low,25,0.009393677799505938,3
159,50,0.08227496420448167,200,0.005,0.5,uniform,25,0.010010904509815514,3
160,50,0.08227496420448167,200,0.005,0.75,high,38,0.006824611876579852,4
161,50,0.08227496420448167,200,0.005,0.75,low,38,0.006391714213327698,4
162,50,0.08227496420448167,200,0.005,0.75,uniform,38,0.006581910606065874,4
163,50,0.09898982037296081,200,0.005,0.02,high,1,0.31639380684972435,4
164,50,0.09898982037296081,200,0.005,0.02,low,1,0.20699281079131582,4
165,50,0.09898982037296081,200,0.005,0.02,uniform,1,0.24682036919237843,4
166,50,0.09898982037296081,200,0.005,0.05,high,2,0.15396236154291193,4
167,50,0.09898982037296081,200,0.005,0.05,low,2,0.1043193163011822,4
168,50,0.09898982037296081,200,0.005,0.05,uniform,2,0.12536858281456703,4
169,50,0.09898982037296081,200,0.005,0.1,high,5,0.05972429376655122,4
170,50,0.09898982037296081,200,0.005,0.1,low,5,0.04269589858811618,4
171,50,0.09898982037296081,200,0.005,0.1,uniform,5,0.050064008377588017,4
172,50,0.09898982037296081,200,0.005,0.25,high,12,0.02391334066098787,4
173,50,0.09898982037296081,200,0.005,0.25,low,12,0.01848619074911306,4
174,50,0.09898982037296081,200,0.005,0.25,uniform,12,0.02086847513426599,4
175,50,0.09898982037296081,200,0.005,0.5,high,25,0.010885580808823195,4
176,50,0.09898982037296081,200,0.005,0.5,low,25,0.00924766914465298,4
177,50,0.09898982037296081,200,0.005,0.5,uniform,25,0.010000727032935327,4
178,50,0.09898982037296081,200,0.005,0.75,high,38,0.00685374806460039,4
