design,method,lower_error_freq,upper_error_freq,coverage
78,wspoissonTest_midp,0.0115,0.0141,0.9744
79,AC,0.0198,0.02,0.9602
79,CP,0.0179,0.0199,0.9622
79,wspoissonTest,0.0182,0.0194,0.9624
79,wspoissonTest_midp,0.0193,0.0206,0.9601
80,AC,0.0204,0.018,0.9616
80,CP,0.0178,0.0179,0.9643
80,wspoissonTest,0.0179,0.0174,0.9647
80,wspoissonTest_midp,0.0196,0.0185,0.9619
81,AC,0.0206,0.0189,0.9605
81,CP,0.0188,0.0188,0.9624
81,wspoissonTest,0.0191,0.0186,0.9623
81,wspoissonTest_midp,0.0204,0.0198,0.9598
82,AC,0.0219,0.0212,0.9569
82,CP,0.0201,0.0212,0.9587
82,wspoissonTest,0.0203,0.021,0.9587
82,wspoissonTest_midp,0.0212,0.0216,0.9572
83,AC,0.0212,0.0221,0.9567
83,CP,0.0191,0.022,0.9589
83,wspoissonTest,0.0193,0.0216,0.9591
83,wspoissonTest_midp,0.0207,0.0228,0.9565
84,AC,0.0225,0.0188,0.9587
84,CP,0.0198,0.0188,0.9614
84,wspoissonTest,0.0202,0.0183,0.9615
84,wspoissonTest_midp,0.0214,0.0195,0.9591
85,AC,0.0047,0.0043,0.991
85,CP,0.0038,0.0043,0.9919
85,wspoissonTest,0.0039,0.0042,0.9919
85,wspoissonTest_midp,0.0046,0.0048,0.9906
86,AC,0.0017,0.0016,0.9967
86,CP,0.0014,0.0016,0.997
86,wspoissonTest,0.0015,0.0015,0.997
86,wspoissonTest_midp,0.0016,0.0016,0.9968
87,AC,0.0035,0.0034,0.9931
87,CP,0.003,0.0032,0.9938
87,wspoissonTest,0.003,0.003,0.994
87,wspoissonTest_midp,0.0034,0.0038,0.9928
88,AC,0.0163,0.0139,0.9698
88,CP,0.0142,0.0139,0.9719
88,wspoissonTest,0.0146,0.0137,0.9717
88,wspoissonTest_midp,0.0159,0.0144,0.9697
89,AC,0.0132,0.0127,0.9741
89,CP,0.0113,0.0127,0.976
89,wspoissonTest,0.0114,0.0117,0.9769
89,wspoissonTest_midp,0.0126,0.0131,0.9743
90,AC,0.018,0.0137,0.9683
90,CP,0.0166,0.0137,0.9697
90,wspoissonTest,0.0167,0.0132,0.9701
90,wspoissonTest_midp,0.0176,0.014,0.9684
91,AC,0.0209,0.0176,0.9615
91,CP,0.019,0.0176,0.9634
91,wspoissonTest,0.0193,0.0174,0.9633
91,wspoissonTest_midp,0.0203,0.0187,0.961
92,AC,0.0191,0.0196,0.9613
