design,method,conf_int_1,conf_int_2,width,lower_error_freq,upper_error_freq,coverage
20874,AC,0.035142837246862305,0.07068773484675257,0.03554489759989027,6e-4,0.007,0.9924
20874,CP,0.03411909029102188,0.07059151732312463,0.03647242703210276,4e-4,0.0072,0.9924
20874,wspoissonTest,0.03423994273742735,0.08327738634668878,0.04903744360926144,4e-4,0,0.9996
20874,wspoissonTest_midp,0.03526406907721587,0.07897517864364452,0.04371110956642865,7e-4,0,0.9993
20875,AC,0.03456688276445814,0.0716907546884636,0.03712387192400546,0.0187,0.036,0.9453
20875,CP,0.033476690401843257,0.07157700895967758,0.038100318557834335,0.0123,0.0364,0.9513
20875,wspoissonTest,0.03360858910656189,0.08397251030513438,0.050363921198572484,0.0131,1e-4,0.9868
20875,wspoissonTest_midp,0.03467871347273716,0.07964101640059798,0.04496230292786082,0.0202,5e-4,0.9793
20876,AC,0.0349751136944853,0.07116701345318893,0.03619189975870364,0.0093,0.0229,0.9678
20876,CP,0.033924476740708524,0.07106466364823968,0.03714018690753117,0.0059,0.0238,0.9703
20876,wspoissonTest,0.034050198319845945,0.08364125347845283,0.049591055158606887,0.0063,1e-4,0.9936
20876,wspoissonTest_midp,0.035092477706266806,0.0793286385667641,0.044236160860497295,0.0107,1e-4,0.9892
20877,AC,0.03461281126380026,0.07153921198761168,0.03692640072381141,0.0174,0.0363,0.9463
20877,CP,0.03353063074771315,0.07142750839301708,0.03789687764530393,0.0108,0.037,0.9522
20877,wspoissonTest,0.033661342333960835,0.08386479697555625,0.05020345464159542,0.0118,0,0.9882
20877,wspoissonTest_midp,0.034724472371240135,0.07953850073742955,0.044814028366189404,0.0192,7e-4,0.9801
20878,AC,0.03476864389454642,0.07117420577320695,0.03640556187866053,0.016,0.0304,0.9536
20878,CP,0.0337079497612237,0.07106824031350911,0.03736029055228541,0.0096,0.0314,0.959
20878,wspoissonTest,0.03383516657274015,0.08360581291630743,0.04977064634356729,0.0108,1e-4,0.9891
20878,wspoissonTest_midp,0.03488304377659716,0.07928898470901935,0.04440594093242219,0.0169,4e-4,0.9827
20879,AC,0.034685086212879135,0.07167570978392149,0.036990623571042346,0.0168,0.0357,0.9475
20879,CP,0.03360089102192303,0.07156450251517106,0.03796361149324804,0.0106,0.0362,0.9532
20879,wspoissonTest,0.033732219175068315,0.08399337069970694,0.05026115152463863,0.0115,0,0.9885
20879,wspoissonTest_midp,0.03479717452431154,0.07966696148982637,0.044869786965514837,0.0189,7e-4,0.9804
20880,AC,0.03477950191910122,0.07118880397833707,0.03640930205923584,0.0161,0.0348,0.9491
20880,CP,0.03371864705927512,0.0710830220552774,0.03736437499600228,0.0106,0.0352,0.9542
20880,wspoissonTest,0.033846143190108514,0.08362723395515057,0.04978109076504206,0.0114,2e-4,0.9884
20880,wspoissonTest_midp,0.03489260537366294,0.07931279374515422,0.044420188371491275,0.019,9e-4,0.9801
20881,AC,2.4831417144042465e-4,0.01908102116207492,0.018832706990634496,0.0147,0.1549,0.8304
20881,CP,7.925725178851322e-4,0.017748854495353135,0.016956281977468003,0.0098,0.1549,0.8353
20881,wspoissonTest,7.993600431947254e-4,0.04473356093132258,0.043934200888127856,0.0103,0,0.9897
20881,wspoissonTest_midp,0.001010139201174702,0.037921999088968775,0.03691185988779407,0.0187,0,0.9813
20882,AC,0.0016621306268497353,0.012494410607399031,0.010832279980549296,0.0035,0.0631,0.9334
20882,CP,0.0015583403736004707,0.012044680593942121,0.010486340220341651,9e-4,0.0694,0.9297
20882,wspoissonTest,0.0015628981035321926,0.0433060333327701,0.04174313522923791,9e-4,0,0.9991
20882,wspoissonTest_midp,0.0016844824844419472,0.036888503218935255,0.0352040207344933,0.002,0,0.998
20883,AC,7.595708121657501e-4,0.016729083014702766,0.015969512202537013,0.0133,0.0695,0.9172
20883,CP,0.0010174443703810738,0.01574318839266455,0.014725744022283474,0.0094,0.0853,0.9053
20883,wspoissonTest,0.001023754923519759,0.044250026456807055,0.04322627153328729,0.0095,0,0.9905
20883,wspoissonTest_midp,0.0012260618125320743,0.037584243372590274,0.036358181560058205,0.016,0,0.984
20884,AC,0.0015216068272421396,0.012983367322211408,0.011461760494969268,0.009,0.0905,0.9005
20884,CP,0.0014577029415562713,0.012469649417927262,0.011011946476370991,0.0044,0.0982,0.8974
20884,wspoissonTest,0.0014626278679749864,0.043442310281710764,0.04197968241373578,0.0045,0,0.9955
20884,wspoissonTest_midp,0.0016009541100896912,0.03696857739250679,0.035367623282417104,0.0085,0,0.9915
20885,AC,0.0011079190713083335,0.014926657598963677,0.013818738527655344,0.0136,0.0904,0.896
20885,CP,0.0011970196994796252,0.014177166179958506,0.01298014648047888,0.0087,0.1042,0.8871
20885,wspoissonTest,0.0012028739033509174,0.043918419186343566,0.04271554528299265,0.0088,0,0.9912
